,Document,Similarity_topic2
185,23328551,0.515147862423658
166,22613337,0.5143306844713494
226,25096400,0.5136689934846521
159,22443113,0.5134691020770794
163,22568572,0.5131558328152754
224,24972969,0.5128969002130767
182,23226067,0.511322416536791
173,22912387,0.5112107663578251
160,22443647,0.5099696742361735
103,19383809,0.5088151182004453
214,24729716,0.5085188842721123
189,23443800,0.5083385622493573
88,18593892,0.5077418954937085
264,26076736,0.5069270085955606
178,22999080,0.5068299963332014
194,23561899,0.5065222750424956
229,25120654,0.5061476717726717
216,24777808,0.5060394801277154
210,24496003,0.5054760069708356
197,23708071,0.5051520236453644
306,AACR_2012-4589,0.5049194677871148
270,26352533,0.5041592456521719
268,26278300,0.5021847658514325
219,24856155,0.4997436153948759
111,19737969,0.4996997624583273
283,26755435,0.4996102250146367
188,23425902,0.4993959514857348
258,25929953,0.49906106964930497
158,22311682,0.49894168493608265
40,16730855,0.49784793022951923
147,21725039,0.49762040979079514
142,21475126,0.4973803902832035
155,22240786,0.4968054426071503
162,22483782,0.49553220268293796
91,18760859,0.49551772664517757
143,21569690,0.49496551085917595
41,16818686,0.49240203786772413
212,24598368,0.4918336458515029
76,18320074,0.4908660073941403
84,18509184,0.49038249117583477
179,23018906,0.49026847603269974
255,25823662,0.48913639025629974
276,26571844,0.48643804216054853
201,23852459,0.4847554650171151
269,26301689,0.4828009408891762
211,24585406,0.4825546185840303
52,17450496,0.48059324384418245
275,26544515,0.48038754546107476
235,25360721,0.47991315899174347
172,22908099,0.47956334088519914
289,27040854,0.4794609907275942
153,22119437,0.4793045879320389
96,19064915,0.4785673099367952
187,23386065,0.47678022875816994
238,25514801,0.4727740090791561
87,18520300,0.47093340784920157
254,25806283,0.4706937172503887
42,16947044,0.46899819474303805
304,AACR_2012-1232,0.4687461697965899
243,25611025,0.4686433711461992
170,22843788,0.46773682758589874
261,25971657,0.4661436149181247
242,25609979,0.46613428238428245
246,25682925,0.46525754632646643
136,21258415,0.46400704651983415
140,21415216,0.46377315942182973
202,23931899,0.4633563694838204
316,ASCO_110355-132,0.463349973827915
108,19680293,0.4629668568087685
209,24435321,0.46225031173839803
228,25101329,0.4615766858413917
252,25740311,0.4611673241490685
250,25722667,0.45851923614020396
266,26136951,0.45818928067504916
221,24916999,0.45818813663065
139,21368458,0.45736948917095965
293,27132509,0.45689715541388964
22,15685537,0.45587628315956485
286,26805736,0.45453119405989706
156,22285168,0.4525086847590267
58,17610986,0.45245653138105296
307,AACR_2013-1196,0.4523295985060691
67,17945377,0.4515016799260496
278,26622190,0.45067919553213664
327,ASCO_42810-74,0.4504233511586453
292,27103824,0.4481617647058823
279,26637922,0.4478019920575067
301,27756333,0.44694668879818344
285,26798590,0.4467019296063415
325,ASCO_33638-65,0.4443071395224757
328,ASCO_43531-74,0.4431133639966844
271,26354324,0.4410564018407156
230,25144242,0.44094270575363015
237,25458559,0.43969250520721104
244,25629371,0.4387455321901982
291,27060609,0.4387197492358424
227,25101240,0.4361031003310414
116,20015198,0.4356453989679313
305,AACR_2012-4573,0.4343121253877895
17,15492792,0.43141783053547755
281,26712101,0.4303716051638047
295,27385982,0.4290078732976105
330,ASCO_80513-102,0.42891616845743274
114,19949333,0.4278736173956762
8,12867061,0.4251406253558334
288,26988828,0.42497634106089976
191,23459373,0.42496603960507706
309,AACR_2013-4446,0.42471496696902367
298,27588191,0.42340943370355133
31,16287112,0.4222943598742831
124,20551113,0.42201417693145626
12,14717479,0.41988387706234165
123,20512492,0.41759321444195396
262,26018277,0.4166031528890626
260,25960661,0.4156779817190034
314,AACR_2016-677,0.41267783920094847
68,18006774,0.41250908483051335
1,11572056,0.40998599439775907
28,16173832,0.40942192774545716
15,15010069,0.4091601445510114
312,AACR_2015-4244,0.40913030868913225
2,11760588,0.4073236987102533
287,26848271,0.4064342620164949
231,25232377,0.4045102036710093
300,27732995,0.4040709173124427
11,14686698,0.401835962240374
265,26107243,0.4004014088766411
83,18487909,0.4002308894572322
74,18252146,0.3995573232471628
90,18718191,0.39926935478406056
53,17504295,0.3991823710836315
101,19335275,0.39817653934203534
6,12394270,0.3975352113721097
131,20954328,0.3970726006020123
62,17680243,0.3954903756374345
70,18180842,0.39526932567898954
332,ASCO_98145-114,0.39458443497114526
323,ASCO_190888-199,0.3926069386087768
329,ASCO_74925-102,0.3915999237690414
290,27056998,0.39143967110653777
151,22017446,0.3888468843964199
161,22454182,0.38851677734030676
267,26240289,0.3884434859086562
177,22993539,0.3881285273893633
181,23106360,0.3878787315510597
30,16237304,0.38660417322747637
32,16357454,0.3860979706567942
54,17512858,0.3843748228036154
321,ASCO_181965-199,0.38405395538897374
60,17661208,0.3830254576578106
317,ASCO_129081-144,0.38293268456808005
313,AACR_2016-269,0.38157364908208685
20,15537379,0.3808337837299422
331,ASCO_94519-114,0.37980711732906636
299,27659294,0.3796928240993367
319,ASCO_150799-156,0.377958110516934
25,15815732,0.3760563150743417
296,27509958,0.37521273660979537
19,15532894,0.3743881102224439
239,25554490,0.37430529295938497
203,24061512,0.3727299189554091
3,12174137,0.37154053806530585
86,18519520,0.3697958101735992
318,ASCO_144153-156,0.3689865066396929
119,20380258,0.3689396000587426
26,15966213,0.3652167746469217
297,27525836,0.3637099460996519
311,AACR_2014-856,0.36332149899924837
13,14735360,0.3627165525844489
4,12389876,0.36246395812112725
320,ASCO_169345-176,0.3623828887615652
215,24760634,0.3618250213838449
102,19381023,0.3612960568842922
128,20726426,0.3596342383107089
92,18778561,0.3571512739711269
272,26450556,0.35663298689614475
322,ASCO_185625-199,0.3535961008876124
75,18312355,0.3534405231520616
14,14967958,0.3534157869635811
29,16204927,0.3525251767373616
324,ASCO_191981-199,0.3524281062287173
282,26720290,0.35183934783741916
204,24155153,0.35107695916519444
0,11510027,0.35103980986333927
284,26768165,0.3499062268585595
21,15674500,0.34977383727383726
18,15510603,0.349182122343887
303,27836576,0.34821855571496896
45,17090188,0.3470817431201585
48,17196360,0.3466535308447073
33,16401709,0.3454769096612461
34,16423961,0.3398295985060691
150,22007174,0.33887188251314176
122,20469993,0.33879940865234986
146,21677482,0.3377078640313934
169,22772433,0.3371212286998132
37,16534250,0.3363293297116826
117,20166214,0.33581071252639877
61,17667604,0.33458963072408443
47,17193822,0.3340369485498162
134,21177210,0.33278275645922706
85,18514701,0.3324255824389514
24,15735135,0.3315990926285044
66,17923802,0.33074723155255364
164,22572723,0.32931953818391724
65,17922620,0.32839100359040535
94,19006610,0.3277979690044516
80,18409663,0.3274659549354333
55,17545799,0.32719109806655755
99,19248972,0.3270221090881062
9,12897659,0.3256362374009432
46,17106648,0.32509768009768014
171,22866155,0.3246129794186517
43,16957967,0.3241404610277159
51,17430686,0.3231235859728506
112,19890095,0.322104219565157
39,16718773,0.3208427269060753
152,22093639,0.32020936579760106
44,17043284,0.3186607082615486
82,18452216,0.3173834063539946
7,12783584,0.3168040915548393
23,15709888,0.31604067909214967
192,23513883,0.3145990447461035
50,17385949,0.31231647831546405
138,21337345,0.310759047208627
308,AACR_2013-3394,0.31061225988522745
217,24840522,0.30868037819395283
78,18394167,0.30802108022696256
35,16437930,0.3061560008618832
107,19669326,0.3053161535746675
49,17356951,0.29820652876535225
120,20389135,0.2964371372760958
105,19430004,0.29340112374349503
100,19272232,0.2928138145823904
259,25940171,0.2920285707050413
113,19914780,0.2912740137273853
144,21627342,0.2904456654456654
10,14682111,0.2882689769099505
5,12392638,0.28802259162673816
64,17761719,0.28716302161890395
57,17588355,0.28325360222984647
16,15283152,0.2828183152631682
109,19690669,0.2805363710936466
315,AACR_2017-2081,0.2790362582783396
326,ASCO_42544-74,0.27718244322522395
27,16170192,0.2690087281999046
72,18227567,0.26584084488496257
77,18349856,0.26510417257321284
38,16618383,0.25040871286786315
129,20845798,0.25032831765184704
222,24934821,0.2472298534798535
110,19735005,0.241615970397483
167,22752549,0.21669291084732267
