,Document,Similarity_topic3
297,27525836,0.2796373177520718
328,ASCO_43531-74,0.27705991011912057
295,27385982,0.26337779389641086
322,ASCO_185625-199,0.25632179221973517
317,ASCO_129081-144,0.2552077890978753
321,ASCO_181965-199,0.24874216495310242
266,26136951,0.24289514249191668
177,22993539,0.23895513295184348
293,27132509,0.23814484126984123
327,ASCO_42810-74,0.23810373654123654
323,ASCO_190888-199,0.2375036638708513
300,27732995,0.2365052967277543
231,25232377,0.23357516695282654
318,ASCO_144153-156,0.2322063160604827
254,25806283,0.23026211593284762
301,27756333,0.22925234203410427
311,AACR_2014-856,0.2269240672773281
324,ASCO_191981-199,0.2247348971374945
227,25101240,0.22429157647907644
289,27040854,0.22108556206338464
329,ASCO_74925-102,0.20214102137179057
290,27056998,0.18633607393173718
319,ASCO_150799-156,0.1847100468975469
296,27509958,0.182087748172307
285,26798590,0.17828305953305953
305,AACR_2012-4573,0.17511469824977885
272,26450556,0.17022137851464775
